file_name,temp_avg_avg,relevant_cond_hours_avg
my_outputs\ABUDHABI_output.json,27.418200000000002,7.0
my_outputs\BEIJING_output.json,25.306,7.8
my_outputs\BERLIN_output.json,9.781799999999999,6.6
my_outputs\BUCHAREST_output.json,19.8728,6.8
my_outputs\CAIRO_output.json,20.0364,6.6
my_outputs\KALININGRAD_output.json,7.9636,6.6
my_outputs\KAZAN_output.json,10.999799999999999,6.8
my_outputs\LONDON_output.json,9.654599999999999,6.6
my_outputs\MOSCOW_output.json,11.0,6.8
my_outputs\NOVOSIBIRSK_output.json,18.5674,7.6
my_outputs\PARIS_output.json,10.4,6.6
my_outputs\ROMA_output.json,16.7636,6.6
my_outputs\SPETERSBURG_output.json,9.527199999999999,6.8
my_outputs\VOLGOGRAD_output.json,18.9272,6.8
my_outputs\WARSZAWA_output.json,9.290799999999999,6.6
